Untitled report
"November 1, 2025 - November 30, 2025"
Campaign,Day,Gender,Age,Currency code,Cost,Impr.,Clicks
PRO_Search_|_Oct_25,2025-11-01,Male,18 - 24,INR,112.29,"3,392",37
PRO_Search_|_Oct_25,2025-11-01,Female,18 - 24,INR,254.02,"3,188",62
PRO_Search_|_Oct_25,2025-11-01,Unknown,18 - 24,INR,0.00,2,0
ME_Search_|_Oct_25,2025-11-01,Male,18 - 24,INR,281.75,"5,087",67
ME_Search_|_Oct_25,2025-11-01,Female,18 - 24,INR,287.15,"3,966",58
ME_Search_|_Oct_25,2025-11-01,Unknown,18 - 24,INR,0.00,6,0
IKONIC-AMZ-Glide-Peach-14-Oct-2025,2025-11-01,Female,18 - 24,INR,210.98,"2,111",77
PRO_Search_|_Oct_25,2025-11-01,Male,25 - 34,INR,273.72,"5,436",78
PRO_Search_|_Oct_25,2025-11-01,Female,25 - 34,INR,361.27,"6,222",107
PRO_Search_|_Oct_25,2025-11-01,Unknown,25 - 34,INR,0.00,5,0
ME_Search_|_Oct_25,2025-11-01,Male,25 - 34,INR,399.73,"7,494",102
ME_Search_|_Oct_25,2025-11-01,Female,25 - 34,INR,531.34,"6,055",112
ME_Search_|_Oct_25,2025-11-01,Unknown,25 - 34,INR,0.00,10,0
IKONIC-AMZ-Glide-Peach-14-Oct-2025,2025-11-01,Female,25 - 34,INR,582.64,"5,814",208
PRO_Search_|_Oct_25,2025-11-01,Male,35 - 44,INR,123.47,"3,597",44
PRO_Search_|_Oct_25,2025-11-01,Female,35 - 44,INR,157.51,"3,189",56
PRO_Search_|_Oct_25,2025-11-01,Unknown,35 - 44,INR,0.00,12,0
ME_Search_|_Oct_25,2025-11-01,Male,35 - 44,INR,155.78,"3,853",45
ME_Search_|_Oct_25,2025-11-01,Female,35 - 44,INR,142.44,"3,177",43
ME_Search_|_Oct_25,2025-11-01,Unknown,35 - 44,INR,0.00,4,0
IKONIC-AMZ-Glide-Peach-14-Oct-2025,2025-11-01,Female,35 - 44,INR,132.66,"2,430",50
PRO_Search_|_Oct_25,2025-11-01,Male,45 - 54,INR,66.04,"1,223",22
PRO_Search_|_Oct_25,2025-11-01,Female,45 - 54,INR,33.83,771,11
PRO_Search_|_Oct_25,2025-11-01,Unknown,45 - 54,INR,12.26,3,2
ME_Search_|_Oct_25,2025-11-01,Male,45 - 54,INR,44.42,"1,323",14
ME_Search_|_Oct_25,2025-11-01,Female,45 - 54,INR,53.98,812,15
ME_Search_|_Oct_25,2025-11-01,Unknown,45 - 54,INR,0.00,2,0
PRO_Search_|_Oct_25,2025-11-01,Male,55 - 64,INR,9.52,389,3
PRO_Search_|_Oct_25,2025-11-01,Female,55 - 64,INR,31.46,366,8
ME_Search_|_Oct_25,2025-11-01,Male,55 - 64,INR,12.31,428,4
ME_Search_|_Oct_25,2025-11-01,Female,55 - 64,INR,6.82,271,4
PRO_Search_|_Oct_25,2025-11-01,Male,65+,INR,13.83,274,5
PRO_Search_|_Oct_25,2025-11-01,Female,65+,INR,9.50,147,5
ME_Search_|_Oct_25,2025-11-01,Male,65+,INR,11.52,403,7
ME_Search_|_Oct_25,2025-11-01,Female,65+,INR,2.95,165,1
ME_Search_|_Oct_25,2025-11-01,Unknown,65+,INR,0.00,5,0
PRO_Search_|_Oct_25,2025-11-01,Male,Unknown,INR,0.00,14,0
PRO_Search_|_Oct_25,2025-11-01,Female,Unknown,INR,0.00,27,0
PRO_Search_|_Oct_25,2025-11-01,Unknown,Unknown,INR,559.79,"6,971",136
ME_Search_|_Oct_25,2025-11-01,Male,Unknown,INR,0.00,22,0
ME_Search_|_Oct_25,2025-11-01,Female,Unknown,INR,6.40,21,1
ME_Search_|_Oct_25,2025-11-01,Unknown,Unknown,INR,525.24,"11,098",135
IKONIC-AMZ-Glide-Peach-14-Oct-2025,2025-11-01,Female,Unknown,INR,0.00,5,0
PRO_Search_|_Oct_25,2025-11-03,Male,18 - 24,INR,13.89,140,4
PRO_Search_|_Oct_25,2025-11-03,Female,18 - 24,INR,40.64,407,10
ME_Search_|_Oct_25,2025-11-03,Male,18 - 24,INR,43.21,300,9
ME_Search_|_Oct_25,2025-11-03,Female,18 - 24,INR,73.31,362,13
IKONIC-AMZ-Glide-Peach-14-Oct-2025,2025-11-03,Female,18 - 24,INR,0.00,11,0
PRO_Search_|_Oct_25,2025-11-03,Male,25 - 34,INR,35.46,306,11
PRO_Search_|_Oct_25,2025-11-03,Female,25 - 34,INR,124.52,707,31
ME_Search_|_Oct_25,2025-11-03,Male,25 - 34,INR,131.63,506,22
ME_Search_|_Oct_25,2025-11-03,Female,25 - 34,INR,111.28,559,19
IKONIC-AMZ-Glide-Peach-14-Oct-2025,2025-11-03,Female,25 - 34,INR,6.58,27,2
PRO_Search_|_Oct_25,2025-11-03,Male,35 - 44,INR,37.60,167,10
PRO_Search_|_Oct_25,2025-11-03,Female,35 - 44,INR,15.53,232,4
PRO_Search_|_Oct_25,2025-11-03,Unknown,35 - 44,INR,0.00,2,0
ME_Search_|_Oct_25,2025-11-03,Male,35 - 44,INR,38.90,250,6
ME_Search_|_Oct_25,2025-11-03,Female,35 - 44,INR,23.53,206,4
ME_Search_|_Oct_25,2025-11-03,Unknown,35 - 44,INR,0.00,1,0
IKONIC-AMZ-Glide-Peach-14-Oct-2025,2025-11-03,Female,35 - 44,INR,0.00,45,0
PRO_Search_|_Oct_25,2025-11-03,Male,45 - 54,INR,0.00,53,0
PRO_Search_|_Oct_25,2025-11-03,Female,45 - 54,INR,10.06,57,3
ME_Search_|_Oct_25,2025-11-03,Male,45 - 54,INR,24.59,107,5
ME_Search_|_Oct_25,2025-11-03,Female,45 - 54,INR,2.17,65,1
PRO_Search_|_Oct_25,2025-11-03,Male,55 - 64,INR,0.00,19,0
PRO_Search_|_Oct_25,2025-11-03,Female,55 - 64,INR,2.24,15,1
ME_Search_|_Oct_25,2025-11-03,Male,55 - 64,INR,0.00,33,0
ME_Search_|_Oct_25,2025-11-03,Female,55 - 64,INR,0.00,11,0
PRO_Search_|_Oct_25,2025-11-03,Male,65+,INR,0.00,10,0
PRO_Search_|_Oct_25,2025-11-03,Female,65+,INR,0.00,9,0
ME_Search_|_Oct_25,2025-11-03,Male,65+,INR,1.46,23,1
ME_Search_|_Oct_25,2025-11-03,Female,65+,INR,7.78,12,1
PRO_Search_|_Oct_25,2025-11-03,Male,Unknown,INR,0.00,1,0
PRO_Search_|_Oct_25,2025-11-03,Female,Unknown,INR,5.78,5,1
PRO_Search_|_Oct_25,2025-11-03,Unknown,Unknown,INR,69.39,750,12
ME_Search_|_Oct_25,2025-11-03,Male,Unknown,INR,0.00,1,0
ME_Search_|_Oct_25,2025-11-03,Female,Unknown,INR,0.00,5,0
ME_Search_|_Oct_25,2025-11-03,Unknown,Unknown,INR,139.39,"1,129",20
IKONIC-AMZ-Glide-Peach-14-Oct-2025,2025-11-03,Female,Unknown,INR,0.00,1,0
PRO_Search_|_Oct_25,2025-11-04,Male,18 - 24,INR,106.95,"1,149",24
